DATE,TIME,SPO2,PULSE
2014-06-29, 20:48:19, 95, 76
2014-06-29, 20:48:20, 95, 76
2014-06-29, 20:48:21, 95, 76
2014-06-29, 20:48:22, 95, 76
2014-06-29, 20:48:23, 95, 76
2014-06-29, 20:48:24, 95, 76
2014-06-29, 20:48:25, 95, 75
2014-06-29, 20:48:26, 95, 75
2014-06-29, 20:48:27, 95, 75
2014-06-29, 20:48:28, 95, 74
2014-06-29, 20:48:29, 95, 74
2014-06-29, 20:48:30, 95, 74
2014-06-29, 20:48:31, 95, 74
2014-06-29, 20:48:32, 95, 74
2014-06-29, 20:48:33, 95, 75
2014-06-29, 20:48:34, 95, 74
2014-06-29, 20:48:35, 95, 75
2014-06-29, 20:48:36, 95, 75
2014-06-29, 20:48:37, 95, 75
2014-06-29, 20:48:38, 95, 75
2014-06-29, 20:48:39, 95, 75
2014-06-29, 20:48:40, 95, 75
2014-06-29, 20:48:41, 95, 75
2014-06-29, 20:48:42, 95, 75
2014-06-29, 20:48:43, 95, 75
2014-06-29, 20:48:44, 95, 75
2014-06-29, 20:48:45, 95, 75
2014-06-29, 20:48:46, 95, 75
2014-06-29, 20:48:47, 95, 75
2014-06-29, 20:48:48, 95, 75
2014-06-29, 20:48:49, 95, 75
2014-06-29, 20:48:50, 95, 75
2014-06-29, 20:48:51, 95, 75
2014-06-29, 20:48:52, 95, 75
2014-06-29, 20:48:53, 95, 75
2014-06-29, 20:48:54, 95, 75
2014-06-29, 20:48:55, 95, 75
2014-06-29, 20:48:56, 95, 74
2014-06-29, 20:48:57, 95, 74
2014-06-29, 20:48:58, 95, 74
2014-06-29, 20:48:59, 95, 74
2014-06-29, 20:49:00, 95, 74
2014-06-29, 20:49:01, 95, 74
2014-06-29, 20:49:02, 95, 74
2014-06-29, 20:49:03, 95, 74
2014-06-29, 20:49:04, 95, 74
2014-06-29, 20:49:05, 95, 74
2014-06-29, 20:49:06, 95, 74
2014-06-29, 20:49:07, 95, 74
2014-06-29, 20:49:08, 95, 74
2014-06-29, 20:49:09, 95, 74
2014-06-29, 20:49:10, 95, 74
2014-06-29, 20:49:11, 95, 74
2014-06-29, 20:49:12, 95, 75
2014-06-29, 20:49:13, 95, 75
2014-06-29, 20:49:14, 95, 74
2014-06-29, 20:49:15, 95, 74
2014-06-29, 20:49:16, 95, 74
2014-06-29, 20:49:17, 95, 74
2014-06-29, 20:49:18, 95, 74
2014-06-29, 20:49:19, 95, 74
2014-06-29, 20:49:20, 95, 74
2014-06-29, 20:49:21, 95, 74
2014-06-29, 20:49:22, 95, 74
2014-06-29, 20:49:23, 95, 75
2014-06-29, 20:49:24, 95, 75
2014-06-29, 20:49:25, 95, 77
2014-06-29, 20:49:26, 95, 77
2014-06-29, 20:49:27, 95, 78
2014-06-29, 20:49:28, 95, 80
2014-06-29, 20:49:29, 96, 81
2014-06-29, 20:49:30, 96, 82
2014-06-29, 20:49:31, 96, 82
2014-06-29, 20:49:32, 96, 83
2014-06-29, 20:49:33, 97, 85
2014-06-29, 20:49:34, 97, 86
2014-06-29, 20:49:35, 97, 87
2014-06-29, 20:49:36, 97, 87
2014-06-29, 20:49:37, 97, 87
2014-06-29, 20:49:38, 97, 87
2014-06-29, 20:49:39, 97, 87
2014-06-29, 20:49:40, 97, 87
2014-06-29, 20:49:41, 97, 87
2014-06-29, 20:49:42, 97, 87
2014-06-29, 20:49:43, 97, 87
2014-06-29, 20:49:44, 97, 87
2014-06-29, 20:49:45, 97, 87
2014-06-29, 20:49:46, 97, 87
2014-06-29, 20:49:47, 97, 87
2014-06-29, 20:49:48, 97, 87
2014-06-29, 20:49:49, 97, 87
2014-06-29, 20:49:50, 97, 88
2014-06-29, 20:49:51, 97, 88
2014-06-29, 20:49:52, 97, 88
2014-06-29, 20:49:53, 97, 88
2014-06-29, 20:49:54, 97, 88
2014-06-29, 20:49:55, 97, 88
2014-06-29, 20:49:56, 97, 88
2014-06-29, 20:49:57, 97, 88
2014-06-29, 20:49:58, 97, 87
2014-06-29, 20:49:59, 97, 87
2014-06-29, 20:50:00, 98, 87
2014-06-29, 20:50:01, 98, 87
2014-06-29, 20:50:02, 98, 87
2014-06-29, 20:50:03, 98, 87
2014-06-29, 20:50:04, 98, 87
2014-06-29, 20:50:05, 98, 87
2014-06-29, 20:50:06, 98, 87
2014-06-29, 20:50:07, 98, 85
2014-06-29, 20:50:08, 98, 84
2014-06-29, 20:50:09, 98, 83
2014-06-29, 20:50:10, 97, 82
2014-06-29, 20:50:11, 97, 82
2014-06-29, 20:50:12, 97, 81
2014-06-29, 20:50:13, 97, 81
2014-06-29, 20:50:14, 97, 81
2014-06-29, 20:50:15, 97, 81
2014-06-29, 20:50:16, 97, 81
2014-06-29, 20:50:17, 97, 81
2014-06-29, 20:50:18, 97, 81
2014-06-29, 20:50:19, 97, 80
2014-06-29, 20:50:20, 97, 80
2014-06-29, 20:50:21, 97, 80
2014-06-29, 20:50:22, 97, 79
2014-06-29, 20:50:23, 97, 79
2014-06-29, 20:50:24, 97, 79
2014-06-29, 20:50:25, 97, 79
2014-06-29, 20:50:26, 97, 79
2014-06-29, 20:50:27, 97, 79
2014-06-29, 20:50:28, 97, 79
2014-06-29, 20:50:29, 97, 79
2014-06-29, 20:50:30, 97, 79
2014-06-29, 20:50:31, 97, 79
2014-06-29, 20:50:32, 97, 79
2014-06-29, 20:50:33, 97, 79
2014-06-29, 20:50:34, 97, 79
2014-06-29, 20:50:35, 97, 79
2014-06-29, 20:50:36, 97, 79
2014-06-29, 20:50:37, 97, 79
2014-06-29, 20:50:38, 97, 79
2014-06-29, 20:50:39, 97, 79
2014-06-29, 20:50:40, 97, 79
2014-06-29, 20:50:41, 97, 79
2014-06-29, 20:50:42, 97, 79
2014-06-29, 20:50:43, 97, 79
2014-06-29, 20:50:44, 97, 79
2014-06-29, 20:50:45, 97, 79
2014-06-29, 20:50:46, 97, 79
2014-06-29, 20:50:47, 97, 79
2014-06-29, 20:50:48, 97, 79
2014-06-29, 20:50:49, 97, 79
2014-06-29, 20:50:50, 97, 79
2014-06-29, 20:50:51, 97, 79
2014-06-29, 20:50:52, 97, 79
2014-06-29, 20:50:53, 97, 79
2014-06-29, 20:50:54, 97, 79
2014-06-29, 20:50:55, 97, 79
2014-06-29, 20:50:56, 97, 79
2014-06-29, 20:50:57, 97, 79
2014-06-29, 20:50:58, 97, 79
2014-06-29, 20:50:59, 97, 79
2014-06-29, 20:51:00, 97, 79
2014-06-29, 20:51:01, 97, 79
2014-06-29, 20:51:02, 97, 79
2014-06-29, 20:51:03, 97, 79
2014-06-29, 20:51:04, 97, 79
2014-06-29, 20:51:05, 96, 80
2014-06-29, 20:51:06, 96, 80
2014-06-29, 20:51:07, 96, 80
2014-06-29, 20:51:08, 96, 82
2014-06-29, 20:51:09, 96, 84
2014-06-29, 20:51:10, 96, 85
2014-06-29, 20:51:11, 96, 85
2014-06-29, 20:51:12, 96, 85
2014-06-29, 20:51:13, 96, 85
2014-06-29, 20:51:14, 96, 85
2014-06-29, 20:51:15, 96, 85
2014-06-29, 20:51:16, 96, 86
2014-06-29, 20:51:17, 96, 88
2014-06-29, 20:51:18, 96, 88
2014-06-29, 20:51:19, 96, 90
2014-06-29, 20:51:20, 96, 91
2014-06-29, 20:51:21, 96, 93
2014-06-29, 20:51:22, 96, 94
2014-06-29, 20:51:23, 96, 94
2014-06-29, 20:51:24, 97, 94
2014-06-29, 20:51:25, 97, 93
2014-06-29, 20:51:26, 97, 92
2014-06-29, 20:51:27, 97, 89
2014-06-29, 20:51:28, 96, 88
2014-06-29, 20:51:29, 96, 86
2014-06-29, 20:51:30, 96, 85
2014-06-29, 20:51:31, 96, 85
2014-06-29, 20:51:32, 96, 83
2014-06-29, 20:51:33, 96, 82
2014-06-29, 20:51:34, 96, 82
2014-06-29, 20:51:35, 96, 81
2014-06-29, 20:51:36, 96, 81
2014-06-29, 20:51:37, 96, 80
2014-06-29, 20:51:38, 96, 79
2014-06-29, 20:51:39, 96, 79
2014-06-29, 20:51:40, 96, 79
2014-06-29, 20:51:41, 96, 79
2014-06-29, 20:51:42, 96, 79
2014-06-29, 20:51:43, 96, 79
2014-06-29, 20:51:44, 96, 79
2014-06-29, 20:51:45, 96, 79
2014-06-29, 20:51:46, 96, 79
2014-06-29, 20:51:47, 96, 79
2014-06-29, 20:51:48, 96, 79
2014-06-29, 20:51:49, 96, 79
2014-06-29, 20:51:50, 96, 79
2014-06-29, 20:51:51, 96, 79
2014-06-29, 20:51:52, 96, 78
2014-06-29, 20:51:53, 96, 79
2014-06-29, 20:51:54, 96, 79
2014-06-29, 20:51:55, 96, 80
2014-06-29, 20:51:56, 95, 81
2014-06-29, 20:51:57, 95, 82
2014-06-29, 20:51:58, 96, 83
2014-06-29, 20:51:59, 96, 84
2014-06-29, 20:52:00, 96, 84
2014-06-29, 20:52:01, 96, 83
2014-06-29, 20:52:02, 96, 83
2014-06-29, 20:52:03, 96, 82
2014-06-29, 20:52:04, 96, 81
2014-06-29, 20:52:05, 96, 79
2014-06-29, 20:52:06, 96, 78
2014-06-29, 20:52:07, 96, 78
2014-06-29, 20:52:08, 96, 78
2014-06-29, 20:52:09, 96, 78
2014-06-29, 20:52:10, 96, 78
2014-06-29, 20:52:11, 96, 78
2014-06-29, 20:52:12, 96, 78
2014-06-29, 20:52:13, 96, 78
2014-06-29, 20:52:14, 96, 79
2014-06-29, 20:52:15, 96, 79
2014-06-29, 20:52:16, 96, 79
2014-06-29, 20:52:17, 96, 80
2014-06-29, 20:52:18, 96, 81
2014-06-29, 20:52:19, 96, 82
2014-06-29, 20:52:20, 96, 83
2014-06-29, 20:52:21, 96, 83
2014-06-29, 20:52:22, 96, 82
2014-06-29, 20:52:23, 97, 80
2014-06-29, 20:52:24, 97, 80
2014-06-29, 20:52:25, 97, 80
2014-06-29, 20:52:26, 97, 80
2014-06-29, 20:52:27, 97, 80
2014-06-29, 20:52:28, 97, 80
2014-06-29, 20:52:29, 97, 80
2014-06-29, 20:52:30, 97, 80
2014-06-29, 20:52:31, 97, 80
2014-06-29, 20:52:32, 97, 80
2014-06-29, 20:52:33, 97, 80
2014-06-29, 20:52:34, 97, 79
2014-06-29, 20:52:35, 97, 79
2014-06-29, 20:52:36, 97, 78
2014-06-29, 20:52:37, 97, 77
2014-06-29, 20:52:38, 97, 77
2014-06-29, 20:52:39, 97, 78
2014-06-29, 20:52:40, 97, 80
2014-06-29, 20:52:41, 97, 80
2014-06-29, 20:52:42, 97, 81
2014-06-29, 20:52:43, 97, 81
2014-06-29, 20:52:44, 97, 81
2014-06-29, 20:52:45, 97, 81
2014-06-29, 20:52:46, 97, 81
2014-06-29, 20:52:47, 97, 79
2014-06-29, 20:52:48, 97, 79
2014-06-29, 20:52:49, 96, 78
2014-06-29, 20:52:50, 96, 78
2014-06-29, 20:52:51, 96, 78
2014-06-29, 20:52:52, 96, 78
2014-06-29, 20:52:53, 96, 78
2014-06-29, 20:52:54, 96, 78
2014-06-29, 20:52:55, 96, 78
2014-06-29, 20:52:56, 96, 78
2014-06-29, 20:52:57, 96, 78
2014-06-29, 20:52:58, 96, 78
2014-06-29, 20:52:59, 96, 78
2014-06-29, 20:53:00, 96, 79
2014-06-29, 20:53:01, 96, 79
2014-06-29, 20:53:02, 96, 79
2014-06-29, 20:53:03, 96, 79
2014-06-29, 20:53:04, 96, 79
2014-06-29, 20:53:05, 96, 79
2014-06-29, 20:53:06, 96, 79
2014-06-29, 20:53:07, 96, 80
2014-06-29, 20:53:08, 96, 80
2014-06-29, 20:53:09, 96, 80
2014-06-29, 20:53:10, 96, 82
2014-06-29, 20:53:11, 96, 83
2014-06-29, 20:53:12, 96, 83
2014-06-29, 20:53:13, 96, 83
2014-06-29, 20:53:14, 96, 83
2014-06-29, 20:53:15, 96, 83
